LCSC Part Number,Manufacturer Part Number,Qty/Board,Order Qty,Description,References,Notes
C2890035,SK6805-EC15,84,462,Addressable RGB LED 1.5x1.5mm,"LA0-LO3",10% attrition
C2501,"BAV70,215",42,231,Dual Switching Diode SOT-23,"D9-D50",10% attrition
C485117,TLV62585DRLR,2,11,3A Buck Converter TI SOT-563,"U4,U17",10% attrition
C2652457,"CBTL02043ABQ,115",3,17,USB3.0 Mux NXP QFN-20,"U3,U6,U15",10% attrition
C80670,LP5907MFX-3.3/NOPB,1,6,3.3V LDO TI SOT-23-5,U18,10% attrition
C7519,USBLC6-2SC6,5,28,ESD Protection ST SOT-23-6,"U0,U5,U7,U8,U21",10% attrition
C3001660,AP22811AW5-7,5,28,Load Switch Diodes Inc SOT-23-5,"U9,U10,U16,U20,U23",10% attrition
C7832,SN74LVC1G08DCKR,3,17,Single AND Gate TI SC-70-5,"U14,U19,U22",10% attrition
C82317,W25Q16JVSSIQ,1,5,16Mbit SPI Flash Winbond SOIC-8,U24,
C255587,"PMEG3030EP,115",1,6,Schottky Diode Nexperia SOD-128,D51,10% attrition
C3197666,12401598E4#2A,3,15,USB-C Receptacle Amphenol,"J0,J4,J5",
C262656,1003-002-01100,2,10,USB-A 3.0 Receptacle CNC Tech,"J2,J3",
C11055,AFC07-S20FCC-00,1,5,FFC Connector 20-pin JUSHUO,J7,
C778132,GT-TC025D-H0065-L1,1,6,Tactile Switch G-Switch,SW1,10% attrition
C60474,CL05A104KA5NNNC,38,228,0.1uF 0402 X7R 16V MLCC,"C8-C63",20% attrition
C52923,CL05A105KA5NQNC,9,54,1uF 0402 X5R 10V MLCC,"C1-C3,C5,C6,C72-C75",20% attrition
C1607,CL10A225KP8NNNC,14,84,2.2uF 0603 X5R 10V MLCC,"C4,C25-C27,C33,C59-C67,C76",20% attrition
C15850,CL21A106KAYNNNE,6,36,10uF 0805 X5R 10V MLCC,"C32,C34,C35,C48-C50",20% attrition
C93920,CL05B102KB5NNNC,1,6,1nF 0402 X7R MLCC,C7,20% attrition
C342944,CL05C270JB5NNNC,2,12,27pF 0402 C0G MLCC,"C70,C71",20% attrition
C126507,CL05C331JB5NNNC,2,12,330pF 0402 C0G MLCC,"C68,C69",20% attrition
C60490,RC0402FR-0710KL,11,66,10k 0402 1% Resistor YAGEO,"R4-R8,R11,R15,R23,R26,R31,R32",20% attrition
C25905,0402WGF1003TCE,4,24,100k 0402 1% Resistor,"R16,R17,R29,R30",20% attrition
C25781,0402WGF2003TCE,4,24,200k 0402 1% Resistor,"R12,R13,R19,R20",20% attrition
C25794,0402WGF5101TCE,3,18,5.1k 0402 1% Resistor,"R9,R10,R36",20% attrition
C106235,RC0402FR-071KL,2,12,1k 0402 1% Resistor YAGEO,"R2,R37",20% attrition
C25771,0402WGF270JTCE,2,12,27 ohm 0402 1% Resistor,"R38,R39",20% attrition
C26982,0402WGF5232TCE,2,12,52.3k 0402 1% Resistor,"R22,R25",20% attrition
C114760,RC0402FR-0712KL,1,6,12k 0402 1% Resistor,R1,20% attrition
C25797,0402WGF4302TCE,1,6,43k 0402 1% Resistor,R21,20% attrition
C25076,0402WGF4990TCE,1,6,499 ohm 0402 1% Resistor,R27,20% attrition
C25789,0402WGF9101TCE,1,6,9.1k 0402 1% Resistor,R14,20% attrition
C21190,0603WAF100LT5E,1,6,0.1 ohm 0603 1% Resistor,R3,20% attrition
