LCSC Part Number,Manufacturer Part Number,Qty,Description,References,Notes
C2890035,SK6805-EC15,84,Addressable RGB LED 1.5x1.5mm,"LA0-LO3",NO US ALTERNATIVE
C3197666,12401598E4#2A,3,USB-C Receptacle Amphenol,"J0,J4,J5",Exact part match
C262656,1003-002-01100,2,USB-A 3.0 Receptacle CNC Tech,"J2,J3",Exact part match
C11055,AFC07-S20FCC-00,1,FFC Connector 20-pin JUSHUO,J7,Exact part match
C778132,GT-TC025D-H0065-L1,1,Tactile Switch G-Switch,SW1,Exact part match
C60474,CL05A104KA5NNNC,40,0.1uF 0402 X7R 16V MLCC,"C8-C63",38 needed + spares
C52923,CL05A105KA5NQNC,12,1uF 0402 X5R 10V MLCC,"C1-C3,C5,C6,C72-C75",9 needed + spares
C1607,CL10A225KP8NNNC,16,2.2uF 0603 X5R 10V MLCC,"C4,C25-C27,C33,C59-C67,C76",14 needed
C15850,CL21A106KAYNNNE,8,10uF 0805 X5R 10V MLCC,"C32,C34,C35,C48-C50",6 needed
C93920,CL05B102KB5NNNC,3,1nF 0402 X7R MLCC,C7,
C342944,CL05C270JB5NNNC,5,27pF 0402 C0G MLCC,"C70,C71",2 needed
C126507,CL05C331JB5NNNC,5,330pF 0402 C0G MLCC,"C68,C69",2 needed
C60490,RC0402FR-0710KL,11,10k 0402 1% Resistor YAGEO,"R4-R8,R11,R15,R23,R26,R31,R32",
C25905,0402WGF1003TCE,6,100k 0402 1% Resistor,"R16,R17,R29,R30",4 needed
C25781,0402WGF2003TCE,6,200k 0402 1% Resistor,"R12,R13,R19,R20",4 needed
C25794,0402WGF5101TCE,5,5.1k 0402 1% Resistor,"R9,R10,R36",3 needed
C106235,RC0402FR-071KL,2,1k 0402 1% Resistor YAGEO,"R2,R37",
C25771,0402WGF270JTCE,5,27 ohm 0402 1% Resistor,"R38,R39",2 needed
C26982,0402WGF5232TCE,5,52.3k 0402 1% Resistor,"R22,R25",2 needed
C114760,RC0402FR-0712KL,1,12k 0402 1% Resistor,R1,Replaces backordered C25752
C25797,0402WGF4302TCE,3,43k 0402 1% Resistor,R21,
C25076,0402WGF4990TCE,3,499 ohm 0402 1% Resistor,R27,
C25789,0402WGF9101TCE,3,9.1k 0402 1% Resistor,R14,
C21190,0603WAF100LT5E,3,0.1 ohm 0603 1% Resistor,R3,
C405480,ECS-3225MV-250-CN-TR,1,25MHz HCMOS Oscillator ECS 3.2x2.5mm,X1,CN variant of BN
