Feeder Type,Slot,Feeder Notes,Part Number,Description,OpenPnP Part Name,References,Qty/Board,Qty (10 boards),Source,Side
8mm Motorized,2,Opulo feeder,CL05A105KA5NQNC,1uF 0402 X5R 10V MLCC,C_0402_1005Metric-1_uF,"C1-C3,C5,C6,C72-C75",9,90,LCSC,top
8mm Motorized,3,Opulo feeder,CC0402KRX7R7BB104,0.1uF 0402 X7R 16V MLCC YAGEO,C_0402_1005Metric-0.1uF,C8-C63,38,380,LCSC,both
8mm Motorized,4,Opulo feeder,RC0402FR-0710KL,10k 0402 1% Resistor YAGEO,R_0402_1005Metric-10_k,"R4-R8,R11,R15,R23,R26,R31,R32",11,110,LCSC,both
8mm Motorized,5,Opulo feeder,0402WGF1003TCE,100k 0402 1% Resistor,R_0402_1005Metric-100_k,"R16,R17,R29,R30",4,40,LCSC,both
8mm Motorized,6,Opulo feeder,0402WGF5232TCE,52.3k 0402 1% Resistor,R_0402_1005Metric-52.3_k,"R22,R25",2,20,LCSC,both
8mm Motorized,7,Opulo feeder,SK6805-EC15,Addressable RGB LED 1.5x1.5mm,LED_SK6805-EC15-SK6805-EC15,LA0-LO3,84,840,LCSC,top
8mm Motorized,8,Opulo feeder,CL10A225KP8NNNC,2.2uF 0603 X5R 10V MLCC,C_0603_1608Metric-2.2_uF,"C4,C25-C27,C33,C59-C67,C76",14,140,LCSC,both
8mm Strip,S7,3D printed strip feeder,0603WAF100LT5E,0.1 ohm 0603 1% Resistor,R_0603_1608Metric-0.1,R3,1,10,LCSC,top
8mm Motorized,10,Opulo feeder,AP22811AW5-7,Load Switch Diodes Inc SOT-23-5,SOT-23-5-AP22811AW5-7_,"U9,U10,U16,U20,U23",5,50,LCSC,top
8mm Motorized,11,Opulo feeder,SN74LVC1G08DCKR,Single AND Gate TI SC-70-5,SOT-353_SC-70-5-SN74LVC1G08DCKR,"U14,U19,U22",3,30,LCSC,both
8mm Strip,S1,3D printed strip feeder,CC0402JRX7R9BB102,1nF 0402 X7R 50V MLCC YAGEO,C_0402_1005Metric-1_nF,C7,1,10,LCSC,top
8mm Strip,S2,3D printed strip feeder,0402WGF4302TCE,43k 0402 1% Resistor,R_0402_1005Metric-43_k,R21,1,10,LCSC,top
8mm Strip,S3,3D printed strip feeder,0402WGF4990TCE,499 ohm 0402 1% Resistor,R_0402_1005Metric-499,R27,1,10,LCSC,top
12mm Strip,,3D printed strip feeder,"PMEG3030EP,115",Schottky Diode Nexperia SOD-128,"D_SOD-128-PMEG3030EP,115",D51,1,10,LCSC,top
8mm Strip,S4,3D printed strip feeder,LP5907MFX-3.3/NOPB,3.3V LDO TI SOT-23-5,SOT-23-5-LP5907MFX-3.3,U18,1,10,LCSC,top
8mm Strip,S5,3D printed strip feeder,XO23C3EREHX25M000,25MHz HCMOS Oscillator Vishay 3.2x2.5mm,"Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm-ECS-3225MV-250-BN-TR_",X1,1,10,Mouser,top
8mm Strip,S6,3D printed strip feeder,ABM8G-12.000MHZ-18-D2Y-T,12MHz Crystal Abracon 18pF 3.2x2.5mm,"Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm-RH100-12.000-18-2030-TR",Y2,1,10,Mouser,top
8mm Motorized,,Opulo feeder,CL21A106KAYNNNE,10uF 0805 X5R 10V MLCC,,"C32,C34,C35,C48-C50",6,60,LCSC,bottom
8mm Motorized,,Opulo feeder,GCM1555C1H331JA16D,330pF 0402 C0G 50V MLCC muRata,,"C68,C69",2,20,LCSC,bottom
8mm Motorized,,Opulo feeder,CGA2B2C0G1H270JT0Y0F,27pF 0402 C0G 50V MLCC TDK,,"C70,C71",2,20,LCSC,bottom
12mm Motorized,,Opulo feeder,PUSB3FR4Z,USB3.0 ESD Protection Nexperia DFN-10,,D1-D8,8,80,Mouser,bottom
8mm Motorized,,Opulo feeder,"BAV70,215",Dual Switching Diode SOT-23,,D9-D50,42,420,LCSC,bottom
12mm Motorized,,Opulo feeder,SRN4018TA-2R2M,2.2uH Power Inductor Bourns 4x4mm,,"L1,L2",2,20,Mouser,bottom
8mm Strip,,3D printed strip feeder,RC0402FR-0712KL,12k 0402 1% Resistor,,R1,1,10,LCSC,bottom
8mm Motorized,,Opulo feeder,RC0402FR-071KL,1k 0402 1% Resistor YAGEO,,"R2,R37",2,20,LCSC,bottom
8mm Motorized,,Opulo feeder,0402WGF5101TCE,5.1k 0402 1% Resistor,,"R9,R10,R36",3,30,LCSC,bottom
8mm Motorized,,Opulo feeder,0402WGF2003TCE,200k 0402 1% Resistor,,"R12,R13,R19,R20",4,40,LCSC,bottom
8mm Strip,,3D printed strip feeder,0402WGF9101TCE,9.1k 0402 1% Resistor,,R14,1,10,LCSC,bottom
8mm Motorized,,Opulo feeder,0402WGF270JTCE,27 ohm 0402 1% Resistor,,"R38,R39",2,20,LCSC,bottom
